Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,EMI,IncomeToLoan
LP001002,1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,0.35555555555555557,45.6953125
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,0.35555555555555557,47.5859375
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,0.18333333333333332,45.45454545454545
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,0.3333333333333333,41.175
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,0.39166666666666666,42.5531914893617
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,0.7416666666666667,36.00374531835206
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,0.2638888888888889,40.51578947368421
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,0.4388888888888889,35.063291139240505
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,0.4666666666666667,32.92857142857143
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,0.9694444444444444,68.22063037249283
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,0.19444444444444445,55.714285714285715
LP001027,1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,0.30277777777777776,39.81651376146789
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,0.5555555555555556,55.895
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,0.31666666666666665,41.166666666666664
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,0.14166666666666666,140.2941176470588
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,0.3472222222222222,39.6
LP001034,1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,0.4166666666666667,35.96
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,0.2111111111111111,46.18421052631579
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,0.36944444444444446,36.744360902255636
LP001041,1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,0.3194444444444444,53.04347826086956
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,0.28888888888888886,73.65384615384616
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,0.875,36.76190476190476
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,0.32222222222222224,38.88793103448276
LP001050,1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,0.3111111111111111,47.160714285714285
LP001052,1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,0.41944444444444445,43.98675496688742
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,0.5305555555555556,50.05235602094241
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,0.3388888888888889,41.40983606557377
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,0.3055555555555556,47.872727272727275
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,0.09722222222222222,41.2
LP001087,0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,0.3333333333333333,48.608333333333334
LP001091,1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,0.5583333333333333,37.48756218905473
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,0.20555555555555555,42.7972972972973
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,0.29444444444444445,44.264150943396224
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,0.31666666666666665,45.324561403508774
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,0.8888888888888888,48.4375
LP001106,1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,0.35555555555555557,33.921875
LP001109,1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,0.2777777777777778,31.58
LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,0.4,35.59722222222222
LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,0.5111111111111111,61.82608695652174
LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,0.3055555555555556,49.236363636363635
LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,0.2222222222222222,45.0
LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,0.13055555555555556,64.1063829787234
LP001123,1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,0.20833333333333334,32.0
LP001131,1,1,0,0,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,0.37222222222222223,46.843283582089555
LP001136,1,1,0,1,1,4695,0.0,96.0,360.0,1.0,2,1,4695.0,0.26666666666666666,48.90625
LP001137,0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,1,3410.0,0.24444444444444444,38.75
LP001138,1,1,1,0,0,5649,0.0,44.0,360.0,1.0,2,1,5649.0,0.12222222222222222,128.38636363636363
LP001144,1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,1,5821.0,0.4,40.423611111111114
LP001146,0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,0,6085.0,0.3333333333333333,50.708333333333336
LP001151,0,0,0,0,0,4000,2275.0,144.0,360.0,1.0,1,1,6275.0,0.4,43.576388888888886
LP001155,0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,1,3572.0,0.2777777777777778,35.72
LP001157,0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,1,3086.0,0.3333333333333333,25.716666666666665
LP001164,0,0,0,0,0,4230,0.0,112.0,360.0,1.0,1,0,4230.0,0.3111111111111111,37.767857142857146
LP001179,1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,0,4616.0,0.37222222222222223,34.44776119402985
LP001186,0,1,1,0,1,11500,0.0,286.0,360.0,0.0,2,0,11500.0,0.7944444444444444,40.20979020979021
LP001194,1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,1,3875.0,0.26944444444444443,39.94845360824742
LP001195,1,1,0,0,0,2132,1591.0,96.0,360.0,1.0,1,1,3723.0,0.26666666666666666,38.78125
LP001197,1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,0,5566.0,0.375,41.22962962962963
LP001198,1,1,1,0,0,8080,2250.0,180.0,360.0,1.0,2,1,10330.0,0.5,57.388888888888886
LP001199,1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,1,6216.0,0.4,43.166666666666664
LP001205,1,1,0,0,0,2500,3796.0,120.0,360.0,1.0,2,1,6296.0,0.3333333333333333,52.46666666666667
LP001206,1,1,3,0,0,3029,0.0,99.0,360.0,1.0,2,1,3029.0,0.275,30.595959595959595
LP001207,1,1,0,1,1,2609,3449.0,165.0,180.0,0.0,0,0,6058.0,0.9166666666666666,36.71515151515152
LP001213,1,1,1,0,0,4945,0.0,128.0,360.0,0.0,0,0,4945.0,0.35555555555555557,38.6328125
LP001222,0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,0,4166.0,0.32222222222222224,35.91379310344828
LP001225,1,1,0,0,0,5726,4595.0,258.0,360.0,1.0,1,0,10321.0,0.7166666666666667,40.00387596899225
LP001228,1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,0,5454.0,0.7,43.285714285714285
LP001233,1,1,1,0,0,10750,0.0,312.0,360.0,1.0,2,1,10750.0,0.8666666666666667,34.455128205128204
LP001238,1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,1,7100.0,2.0833333333333335,56.8
LP001241,0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,0,4300.0,0.37777777777777777,31.61764705882353
LP001243,1,1,0,0,0,3208,3066.0,172.0,360.0,1.0,2,1,6274.0,0.4777777777777778,36.47674418604651
